alpha,seed,method,value,ratio,oracle_value,where_recall,where_jaccard,when_mae,when_hit1,n_init,n_overlap,actual_reward,q_vs_value_rho,n_samples,q_gap
0.5,-1,纯空间排序,781.5258275458125,0.7708333757516165,1013.8712880507674,1.0,1.0,2.6666666666666665,0.2222222222222222,18,18,,,,
0.5,-1,时间感知贪心,892.5996804066406,0.8803875708155429,1013.8712880507674,0.8888888888888888,0.8,1.25,0.625,18,16,,,,
0.5,-1,oracle,1013.8712880507674,1.0,1013.8712880507674,1.0,1.0,0.0,1.0,18,18,,,,
0.5,0,Double-FQI,892.5996804066406,0.8803875708155429,1013.8712880507674,0.8888888888888888,0.8,1.25,0.625,18,16,892.5996804066407,0.4741669487509905,8640.0,22.756540381042843
0.5,1,Double-FQI,892.5996804066406,0.8803875708155429,1013.8712880507674,0.8888888888888888,0.8,1.25,0.625,18,16,892.5996804066407,0.46610274493400067,8640.0,22.6094766063293
0.5,2,Double-FQI,892.5996804066406,0.8803875708155429,1013.8712880507674,0.8888888888888888,0.8,1.25,0.625,18,16,892.5996804066407,0.4687126650608542,8640.0,22.79192815193034
0.5,3,Double-FQI,892.5996804066406,0.8803875708155429,1013.8712880507674,0.8888888888888888,0.8,1.25,0.625,18,16,892.5996804066407,0.46264963117070823,8640.0,22.83874143530751
0.5,4,Double-FQI,892.5996804066406,0.8803875708155429,1013.8712880507674,0.8888888888888888,0.8,1.25,0.625,18,16,892.5996804066407,0.47221177112300644,8640.0,22.757042329792625
0.75,0,随机,498.7244617211834,0.5199868277094022,959.1097988349401,0.7777777777777778,0.6363636363636364,2.642857142857143,0.35714285714285715,18,14,,,,
0.75,1,随机,519.6936827680136,0.5418500399008552,959.1097988349401,0.7222222222222222,0.5652173913043478,3.1538461538461537,0.23076923076923078,18,13,,,,
0.75,2,随机,510.2302729484424,0.5319831718623192,959.1097988349401,0.8333333333333334,0.7142857142857143,3.2666666666666666,0.3333333333333333,18,15,,,,
0.75,3,随机,436.26143390874773,0.4548607828203693,959.1097988349401,0.7777777777777778,0.6363636363636364,2.5,0.21428571428571427,18,14,,,,
0.75,4,随机,520.0079463180374,0.5421777016038277,959.1097988349401,0.7222222222222222,0.5652173913043478,3.0,0.23076923076923078,18,13,,,,
0.75,-1,纯空间排序,595.9104868422737,0.6213162325795695,959.1097988349401,1.0,1.0,2.6666666666666665,0.2222222222222222,18,18,,,,
0.75,-1,时间感知贪心,922.2349400952096,0.9615530372179248,959.1097988349401,1.0,1.0,0.8888888888888888,0.6666666666666666,18,18,,,,
0.75,-1,oracle,959.1097988349401,1.0,959.1097988349401,1.0,1.0,0.0,1.0,18,18,,,,
0.75,0,Double-FQI,922.2349400952096,0.9615530372179248,959.1097988349401,1.0,1.0,0.8888888888888888,0.6666666666666666,18,18,922.2349400952095,0.22197191924668613,8640.0,30.7222430980447
0.75,1,Double-FQI,922.2349400952096,0.9615530372179248,959.1097988349401,1.0,1.0,0.8888888888888888,0.6666666666666666,18,18,922.2349400952095,0.2115233081085665,8640.0,30.69003998827428
0.75,2,Double-FQI,922.2349400952096,0.9615530372179248,959.1097988349401,1.0,1.0,0.8888888888888888,0.6666666666666666,18,18,922.2349400952095,0.216986336936803,8640.0,30.781279915088234
0.75,3,Double-FQI,922.2349400952096,0.9615530372179248,959.1097988349401,1.0,1.0,0.8888888888888888,0.6666666666666666,18,18,922.2349400952095,0.21196855337851392,8640.0,31.11259458309873
