uid,通道,格数,row,col,压力,距路m
59,P1 产业拆除重建,16,49.5,12.625,1.4393736598193534,78.70822143554688
60,P1 产业拆除重建,13,61.46153846153846,2.076923076923077,1.6666978757073214,25.053022384643555
61,P1 产业拆除重建,13,61.53846153846154,15.923076923076923,2.388605390190519,45.647220611572266
62,P1 产业拆除重建,14,64.71428571428571,9.5,1.517327282661262,46.2972297668457
63,P1 产业拆除重建,12,63.5,13.5,2.147937751661901,39.696590423583984
64,P1 产业拆除重建,5,64.0,18.6,1.9837056877528039,32.164306640625
65,P1 产业拆除重建,14,60.785714285714285,10.928571428571429,2.189559370077245,34.328372955322266
66,P1 产业拆除重建,2,59.5,85.5,1.2674054062645475,28.849124908447266
67,P1 产业拆除重建,4,61.0,35.0,2.4791331678919413,28.600154876708984
68,P1 产业拆除重建,9,68.44444444444444,29.333333333333332,2.4506366641664465,25.74945831298828
69,P1 产业拆除重建,18,68.38888888888889,40.833333333333336,2.357923892400393,35.42451858520508
70,P1 产业拆除重建,16,71.5625,21.5625,1.9814576256527827,28.392324447631836
71,P1 产业拆除重建,12,68.41666666666667,32.0,2.345758515691539,27.81111717224121
72,P1 产业拆除重建,18,64.94444444444444,33.72222222222222,2.4300478282574267,54.56364822387695
73,P1 产业拆除重建,17,68.47058823529412,36.0,2.3289901888550557,32.51520919799805
74,P1 产业拆除重建,7,67.28571428571429,24.428571428571427,2.392211388056815,22.63456153869629
75,P1 产业拆除重建,15,72.6,30.466666666666665,1.8339320157829857,22.243051528930664
76,P1 产业拆除重建,5,72.6,25.2,2.0368317800066356,25.655319213867188
77,P1 产业拆除重建,16,63.625,27.0625,2.2861105391175043,22.860244750976562
78,P1 产业拆除重建,9,70.0,26.0,2.4565135616898903,29.68939208984375
79,P1 产业拆除重建,8,66.875,26.875,2.4381023194947415,20.310840606689453
80,P1 产业拆除重建,6,63.833333333333336,71.66666666666667,2.0048541215370195,27.768211364746094
81,P1 产业拆除重建,11,67.63636363636364,17.09090909090909,1.6064358710272482,21.657127380371094
82,P1 产业拆除重建,1,68.0,20.0,2.1791826287663243,31.08855438232422
83,P1 产业拆除重建,9,71.11111111111111,46.888888888888886,1.9078488105540952,28.60594367980957
84,P1 产业拆除重建,29,75.44827586206897,57.10344827586207,2.1428316609553035,30.584749221801758
85,P1 产业拆除重建,13,87.53846153846153,79.3076923076923,1.758522819046159,56.75670623779297
86,P1 产业拆除重建,14,74.57142857142857,73.85714285714286,1.9571185863076974,60.32530975341797
87,P1 产业拆除重建,9,84.44444444444444,81.0,2.092304308772836,48.602882385253906
88,P1 产业拆除重建,11,82.54545454545455,77.18181818181819,2.088694944391151,45.30724334716797
89,P1 产业拆除重建,12,82.58333333333333,83.75,2.1457854515293575,110.78426361083984
90,P1 产业拆除重建,15,81.8,73.66666666666667,2.2074746571228396,36.007530212402344
91,P1 产业拆除重建,14,76.14285714285714,69.0,1.8757492631864403,58.23308563232422
92,P1 产业拆除重建,12,73.08333333333333,71.66666666666667,2.3134146701872456,54.55411911010742
93,P1 产业拆除重建,13,72.46153846153847,68.38461538461539,1.88162882557487,68.2131576538086
94,P1 产业拆除重建,9,78.0,73.66666666666667,2.1739963479094375,42.18927764892578
95,P1 产业拆除重建,10,80.2,71.0,1.817762637744341,62.90995407104492
96,P1 产业拆除重建,12,85.33333333333333,75.5,1.7567283343404625,37.36725997924805
97,P1 产业拆除重建,13,79.84615384615384,80.46153846153847,2.0035590304759165,75.06951904296875
98,P1 产业拆除重建,10,78.7,77.7,1.8581269195762296,64.6612548828125
99,P1 产业拆除重建,14,86.71428571428571,83.21428571428571,1.9571249640046884,60.32117462158203
100,P1 产业拆除重建,3,73.0,7.0,0.6128708298214791,69.18839263916016
101,P1 产业拆除重建,1,72.0,35.0,1.2328650566485515,16.358732223510742
102,P1 产业拆除重建,2,74.0,34.5,0.7576491950891778,10.325302124023438
103,P1 产业拆除重建,14,75.85714285714286,44.214285714285715,2.329034033690704,28.679973602294922
104,P1 产业拆除重建,6,78.66666666666667,49.5,1.9734683837558311,36.46745681762695
105,P1 产业拆除重建,12,79.91666666666667,46.416666666666664,2.3297813227112587,32.34477615356445
106,P1 产业拆除重建,6,78.0,63.5,1.1732808308085643,89.77294158935547
107,P1 产业拆除重建,8,85.375,16.75,2.2812191412207516,17.314495086669922
108,P1 产业拆除重建,10,78.4,13.0,0.7510914447581979,49.41716384887695
109,P1 产业拆除重建,12,86.58333333333333,22.25,1.7617951265106688,34.08768081665039
110,P1 产业拆除重建,9,87.44444444444444,18.666666666666668,2.0992355673453087,44.11652755737305
111,P1 产业拆除重建,11,83.54545454545455,20.727272727272727,1.9745006738331936,30.5194149017334
112,P1 产业拆除重建,16,81.0625,17.625,1.6920407911822095,28.418498992919922
113,P1 产业拆除重建,3,78.33333333333333,92.66666666666667,2.5317998192865994,11.934329986572266
114,P1 产业拆除重建,7,84.71428571428571,13.428571428571429,1.2542516598035311,102.0794906616211
115,P1 产业拆除重建,12,84.41666666666667,41.166666666666664,1.4554035126516531,29.12941551208496
116,P1 产业拆除重建,26,89.15384615384616,57.92307692307692,1.912451815034585,37.54017639160156
117,P1 产业拆除重建,9,89.33333333333333,69.44444444444444,1.8311227179093583,39.5490837097168
118,P1 产业拆除重建,13,91.0,44.15384615384615,1.8382724072545271,37.3040657043457
119,P1 产业拆除重建,9,95.0,39.0,1.2714744475167352,61.06263732910156
120,P1 产业拆除重建,10,94.5,42.0,1.615502218025671,26.55973243713379
121,P1 产业拆除重建,12,99.66666666666667,65.5,2.2279943522415206,63.38095474243164
122,P1 产业拆除重建,14,99.5,69.85714285714286,2.409857521952836,90.86372375488281
123,P1 产业拆除重建,11,102.45454545454545,71.18181818181819,2.2498536781325384,67.71170043945312
124,P1 产业拆除重建,16,102.6875,67.1875,2.0517813247995225,139.68679809570312
125,P1 产业拆除重建,13,100.23076923076923,74.38461538461539,1.966026459918224,115.44650268554688
126,P1 产业拆除重建,12,96.16666666666667,71.0,2.2567313378367775,126.09072875976562
127,P1 产业拆除重建,12,98.25,63.083333333333336,1.4397589079996795,68.2950668334961
128,P1 产业拆除重建,11,96.45454545454545,67.54545454545455,2.0813124170590283,43.74985122680664
129,P1 产业拆除重建,11,93.36363636363636,72.54545454545455,1.585753472794785,92.06698608398438
130,P1 产业拆除重建,11,96.9090909090909,74.18181818181819,1.7568250150459794,120.7269515991211
131,P1 产业拆除重建,21,94.71428571428571,49.904761904761905,1.7471016416480016,28.66375732421875
132,P1 产业拆除重建,15,98.6,100.26666666666667,1.5294487791696505,56.70470428466797
