alpha,seed,trained_g,eval_g,n_initiated,first_year,last_year,mean_year,idle_years,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
0.85,1,0.0,0.05,31.0,0.0,14.0,8.161290322580646,0.0,2427.4806164823594,-62.930384851705774,-1361.4579782735377,1239.4814592787052,3506.220052283285,36.86973625031262,-414.8316065937024,3264082.972421677,-2186.58731749144,-15603.168706131331,-3.1328391483802824
0.85,2,0.0,0.05,24.0,0.0,14.0,8.0,0.0,1375.8014094097489,0.0,-797.9077192817758,694.5320352663177,1594.137802587418,344.1051989813835,-163.88729339145806,3890713.3901919657,-1942.8885983742725,-18890.16358083209,-2.3467256602615016
0.85,3,0.0,0.05,20.0,0.0,14.0,7.5,0.0,2456.9624584246358,0.0,-2278.922191601276,1246.7292566027556,3111.174134946122,1432.6958221552802,-311.0436859170627,3284304.6148471297,-2030.522864165115,-22154.127689701145,-1.6633408395940807
0.85,4,0.0,0.05,23.0,0.0,14.0,8.130434782608695,0.0,2571.070564037726,0.0,-1355.7707382067158,1299.4811252515226,2353.650453163845,39.39501140051109,-471.20116994704966,3387334.2090892917,-2286.3683857851584,-25082.678550477976,-2.0193570039282522
1.0,0,0.0,0.05,22.0,0.0,14.0,7.818181818181818,0.0,2274.9819741963265,0.0,-1168.2983590772756,1150.184946820672,2066.722897643673,-73.88455899596256,-430.6807153928736,2955260.931722247,-2028.974504007087,-24466.852896705732,-2.408928529365663
1.0,1,0.0,0.05,23.0,0.0,14.0,6.391304347826087,0.0,2976.378673856313,0.0,-2094.003915259451,1499.450003915707,873.6920165180172,904.0013593847773,-571.7507806406107,3894606.9619583325,-2549.9360216937916,-41538.82673728588,-2.2207673781285564
1.0,2,0.0,0.05,45.0,0.0,14.0,7.0,0.0,1128.9230723372682,0.0,-821.750781191641,572.8864280442732,1741.0221068783546,-316.662922542869,-299.99886414597694,1504847.6756552507,-970.6219640203213,-17476.416407602326,-4.801648281502975
1.0,3,0.0,0.05,26.0,0.0,14.0,7.269230769230769,0.0,2544.22483251684,0.0,-1928.4870951019614,1287.4699759948683,3080.582649695848,1036.1412779327147,-334.08894382927485,3371662.0571758794,-2167.6941044064183,-22579.710325711727,-2.819484106820014
1.0,4,0.0,0.05,30.0,0.0,14.0,8.5,0.0,2224.5004920216575,0.0,-1341.97352457717,1120.8011152094398,593.3357492280946,453.24638421672654,-528.8989400710527,2813821.6503205053,-1943.2199019753887,-29463.682066895788,-2.5201914115054236
0.0,0,0.0,0.1,28.0,0.0,14.0,7.642857142857143,0.0,-132.9445841608287,2266.0410374811563,-12.33101720046137,-290.32982514322725,2316.350819470588,297.97505580752767,-2666.6617595195776,6928637.302048626,-2546.611827176848,-1829.996693906709,-3.053716549541412
0.0,1,0.0,0.1,15.0,0.0,14.0,7.0,0.0,-221.08617758004203,1770.6858666002488,0.0,-242.18184096466092,1339.4788491322158,139.7569747394245,-934.8312562860008,4770746.307105929,-1937.4547277172874,-5019.15632910164,-2.0108190558689403
0.0,2,0.0,0.1,20.0,0.0,14.0,5.55,0.0,-167.35695681189986,2356.879109766499,0.0,-319.8855985854307,2361.0447644375968,319.88559858543067,-2299.778378070039,6755013.191981015,-2559.084788683446,0.0,-2.52546618983203
0.0,3,0.0,0.1,18.0,0.0,14.0,7.222222222222222,0.0,1090.3179571094975,779.0018581880182,0.0,215.27374376509778,2592.8933734315606,-206.1618233622249,-937.6818590935585,4244023.654965818,-1937.4636938858798,-2229.8949476930893,-2.124507002808666
0.0,4,0.0,0.1,33.0,0.0,14.0,6.121212121212121,0.0,-156.85186574517604,2107.280111696852,0.0,-283.54252635154256,2080.0485686976035,276.69119272805966,-2026.6217331347284,6390096.133517976,-2362.0885511917745,-1723.7247889853581,-4.83334784783594
0.15,0,0.0,0.1,15.0,0.0,14.0,7.0,0.0,-159.06887180394756,2113.213282499481,0.0,-287.0685168523722,2126.7927041141775,287.0685168523722,-2635.165527866309,6039049.030369711,-2296.548134818978,0.0,-1.5411392420358554
0.15,1,0.0,0.1,33.0,0.0,14.0,5.757575757575758,0.0,32.71342842707494,2026.2870491466595,-169.94324756989926,-173.57492945532792,2043.4149886808998,172.91827010586508,-1904.0587338362893,6181722.718205743,-2410.279867789877,-8243.461248595326,-5.080578430549833
0.15,2,0.0,0.1,19.0,0.0,14.0,6.947368421052632,0.0,-169.31024139199738,2159.7518611294267,0.0,-292.7156571302809,2173.6015701835736,292.7156571302809,-2729.9839214630692,6335562.216352634,-2379.1823916147646,-276.04472251476636,-1.9647811958058656
0.15,3,0.0,0.1,17.0,0.0,14.0,7.470588235294118,0.0,-229.38850784860315,1823.873385522948,0.0,-251.83761542107237,1437.244461518722,162.46886328360355,-1008.599802186859,5157272.092929112,-2014.700923368579,-4524.1539701094825,-1.7215720268481889
0.15,4,0.0,0.1,21.0,0.0,14.0,7.285714285714286,0.0,-232.92837971576128,1888.8023953902805,0.0,-256.1723948373232,1690.5342529676498,208.56398481711932,-1153.2749934065018,5519214.000014867,-2077.6373737787617,-5801.888038436833,-2.742996246514319
0.3,0,0.0,0.1,16.0,0.0,14.0,6.875,0.0,1046.2070481946466,747.8975793317684,0.0,206.15334901624374,2483.6756320672725,-197.31447892580522,-988.6735439415785,3986048.9651297987,-1855.3801411461936,-2707.794998386695,-2.110274932360357
0.3,1,0.0,0.1,15.0,0.0,14.0,7.0,0.0,1256.7889707675768,916.8470363814155,0.0,247.63539240337823,2922.575554844135,-234.95353331862498,-937.645934914112,4982959.207804681,-2228.718531630404,-1967.8382189820884,-1.2176245573686146
0.3,2,0.0,0.1,34.0,0.0,14.0,6.0588235294117645,0.0,-284.33208643968686,2256.1329289365895,0.0,-310.0830576761887,2158.863760454759,297.02625215673726,-2194.139984068777,6770840.746265051,-2541.2658452408746,-6898.121761996484,-4.225373738925705
0.3,3,0.0,0.1,20.0,0.0,14.0,8.3,0.0,-159.06887180394756,2113.213282499481,0.0,-287.0685168523722,2126.7927041141775,287.0685168523722,-2635.165527866309,6039049.030369711,-2296.548134818978,-16.2324170333856,-1.6438076586917567
0.3,4,0.0,0.1,38.0,0.0,14.0,6.7105263157894735,0.0,48.20437682552897,2164.865018209478,-163.76787662482383,-185.45711301104103,2930.6950254827048,209.82023898950462,-2138.343430439877,6535253.1525731785,-2564.857036502587,-3809.7498014424464,-5.327048238147457
0.5,0,0.0,0.1,23.0,0.0,14.0,7.217391304347826,0.0,2672.5633611946723,0.0,-1823.0978232046557,1351.2985893497867,3909.472498279995,632.4082636110908,-272.52379080957064,6091019.43632238,-2308.660968875478,-21641.957695951045,-2.4691292181379145
0.5,1,0.0,0.1,23.0,0.0,14.0,7.130434782608695,0.0,2475.5233274741377,0.0,-1452.0552279849835,1255.7221885139934,3465.436100288517,418.45271625903797,-415.5743320764715,5705749.307373915,-2185.720359796223,-18276.80755808061,-2.531478178588624
