组,alpha,seed,落盘,复算_g0,复算_g0.1,判定
relax2,0.85,1,5718962.815471208,1907116.6192631635,5718962.815471208,growth=0.1
relax2,1.0,1,4521055.336824292,1577168.323248371,4521055.336824292,growth=0.1
relax2,1.0,4,8357737.419128679,2910823.8464743,8357737.419128679,growth=0.1
relax2,0.5,2,2991048.4763047546,971111.4931230936,2991048.4763047546,growth=0.1
relax2,0.85,3,6180010.01321253,2092979.5520531542,6180010.013212532,growth=0.1
relax2,0.0,0,6472577.684275832,2111120.214602305,6472577.684275833,growth=0.1
relax2,0.5,0,5202964.536251946,1758907.6384432153,5202964.536251946,growth=0.1
relax2,0.85,2,5605250.6817742605,1838290.8764729858,5605250.6817742605,growth=0.1
relax2,0.5,1,5962512.512811516,1983661.4739470382,5962512.512811516,growth=0.1
relax2,0.5,4,7365998.798476514,2362494.706970608,7365998.798476514,growth=0.1
relax2,0.7,3,3005194.2073776005,984225.0943607002,3005194.2073776,growth=0.1
relax2,0.7,1,5505642.339964135,1860868.7283040502,5505642.339964135,growth=0.1
relax2,0.15,1,5823216.928158589,1964597.6292502799,5823216.928158589,growth=0.1
relax2,0.3,3,4564459.874783507,1560216.2635248923,4564459.874783507,growth=0.1
relax5,0.15,1,4491681.11721677,1539169.4111044023,4491681.11721677,growth=0.1
relax5,0.3,0,6335562.216352634,2098966.417282411,6335562.216352635,growth=0.1
relax5,0.0,2,5408647.317055773,1847448.0034325696,5408647.317055773,growth=0.1
relax5,0.7,4,6468698.845191073,2107410.8132107947,6468698.845191074,growth=0.1
relax5,0.5,3,6980344.194658388,2292915.970682708,6980344.194658388,growth=0.1
relax5,0.15,2,6179193.331862782,2067073.3562398725,6179193.331862782,growth=0.1
relax5,1.0,2,3744820.710609275,1251650.9288913528,3744820.710609275,growth=0.1
relax5,0.5,4,5490424.237616869,1840851.5436029776,5490424.237616869,growth=0.1
relax5,0.5,1,5455161.115979097,1813211.755184399,5455161.115979096,growth=0.1
relax5,0.85,1,5439963.010239087,1849764.2681727875,5439963.010239087,growth=0.1
relax5,0.0,4,4031741.667765923,1369411.5519729524,4031741.667765922,growth=0.1
relax5,0.7,3,6069184.705049778,2015371.2193140336,6069184.705049778,growth=0.1
relax5,0.0,0,5764000.274345719,1912958.307257799,5764000.274345719,growth=0.1
relax5,0.7,1,6039049.030369711,2003738.2476295582,6039049.030369711,growth=0.1
relax5,0.15,3,5546941.601726445,1898618.694593239,5546941.601726445,growth=0.1
relax5,0.3,3,6319275.091548311,2094596.9176270708,6319275.091548311,growth=0.1
